saturatedFat,7 grams,133
sodium,360 milligrams,133
sugar,2 grams,133
calories,140 calories,134
carbohydrate,35 grams,134
sodium,10 milligrams,134
sugar,33 grams,134
calories,490 calories,135
carbohydrate,18 grams,135
cholesterol,320 milligrams,135
fat,25 grams,135
fiber,1 grams,135
protein,47 grams,135
saturatedFat,9 grams,135
sodium,1190 milligrams,135
sugar,3 grams,135
calories,150 calories,136
carbohydrate,34 grams,136
cholesterol,30 milligrams,136
fat,1.5 grams,136
fiber,2 grams,136
protein,1 grams,136
saturatedFat,0.5 grams,136
sodium,15 milligrams,136
sugar,27 grams,136
,,137
calories,250 calories,138
carbohydrate,12 grams,138
cholesterol,105 milligrams,138
fat,17 grams,138
fiber,2 grams,138
protein,13 grams,138
saturatedFat,9 grams,138
sodium,210 milligrams,138
sugar,2 grams,138
calories,260 calories,139
carbohydrate,16 grams,139
cholesterol,65 milligrams,139
fat,20 grams,139
protein,8 grams,139
saturatedFat,13 grams,139
sodium,720 milligrams,139
sugar,1 grams,139
calories,20 calories,140
cholesterol,60 milligrams,140
fat,1.5 grams,140
protein,2 grams,140
sodium,20 milligrams,140
calories,1020 calories,141
carbohydrate,22 grams,141
cholesterol,220 milligrams,141
fat,74 grams,141
fiber,6 grams,141
protein,67 grams,141
saturatedFat,24 grams,141
sodium,1390 milligrams,141
sugar,11 grams,141
calories,130 calories,142
carbohydrate,9 grams,142
cholesterol,10 milligrams,142
fat,10 grams,142
protein,2 grams,142
saturatedFat,2 grams,142
sodium,530 milligrams,142
sugar,3 grams,142
calories,190 calories,143
carbohydrate,1 grams,143
cholesterol,45 milligrams,143
fat,21 grams,143
saturatedFat,11 grams,143
sodium,290 milligrams,143
calories,320 calories,144
carbohydrate,21 grams,144
cholesterol,70 milligrams,144
fat,23 grams,144
fiber,5 grams,144
protein,9 grams,144
saturatedFat,13 grams,144
sodium,320 milligrams,144
sugar,1 grams,144
calories,410 calories,145
carbohydrate,5 grams,145
cholesterol,125 milligrams,145
fat,27 grams,145
protein,35 grams,145
saturatedFat,11 grams,145
sodium,2030 milligrams,145
sugar,4 grams,145
transFat,2 grams,145
calories,120 calories,146
carbohydrate,23 grams,146
fat,1.5 grams,146
fiber,7 grams,146
protein,4 grams,146
sodium,160 milligrams,146
sugar,9 grams,146
calories,180 calories,147
carbohydrate,8 grams,147
cholesterol,145 milligrams,147
fat,6 grams,147
fiber,2 grams,147
protein,23 grams,147
saturatedFat,1 grams,147
sodium,640 milligrams,147
sugar,1 grams,147
calories,240 calories,148
carbohydrate,5 grams,148
cholesterol,75 milligrams,148
fat,15 grams,148
fiber,2 grams,148
protein,19 grams,148
saturatedFat,4 grams,148
sodium,2200 milligrams,148
sugar,3 grams,148
,,149
calories,780 calories,150
carbohydrate,130 grams,150
cholesterol,60 milligrams,150
fat,26 grams,150
fiber,15 grams,150
protein,12 grams,150
saturatedFat,15 grams,150
sodium,240 milligrams,150
sugar,69 grams,150
calories,530 calories,151
carbohydrate,35 grams,151
cholesterol,40 milligrams,151
fat,41 grams,151
protein,6 grams,151
saturatedFat,7 grams,151
sodium,940 milligrams,151
sugar,13 grams,151
calories,190 calories,152
carbohydrate,42 grams,152
protein,1 grams,152
sodium,680 milligrams,152
sugar,40 grams,152
calories,330 calories,153
carbohydrate,56 grams,153
cholesterol,5 milligrams,153
fat,9 grams,153
fiber,6 grams,153
protein,6 grams,153
saturatedFat,2.5 grams,153
sodium,280 milligrams,153
sugar,35 grams,153
transFat,1.5 grams,153
calories,810 calories,154
carbohydrate,51 grams,154
cholesterol,135 milligrams,154
fat,47 grams,154
fiber,5 grams,154
protein,50 grams,154
saturatedFat,24 grams,154
sodium,940 milligrams,154
sugar,6 grams,154
calories,250 calories,155
carbohydrate,11 grams,155
fat,25 grams,155
fiber,8 grams,155
protein,2 grams,155
saturatedFat,3.5 grams,155
sodium,10 milligrams,155
sugar,1 grams,155
calories,530 calories,156
carbohydrate,10 grams,156
cholesterol,120 milligrams,156
fat,38 grams,156
fiber,1 grams,156
protein,36 grams,156
saturatedFat,17 grams,156
sodium,850 milligrams,156
sugar,6 grams,156
calories,360 calories,157
carbohydrate,52 grams,157
cholesterol,35 milligrams,157
fat,12 grams,157
fiber,5 grams,157
protein,11 grams,157
saturatedFat,3.5 grams,157
sodium,80 milligrams,157
sugar,6 grams,157
transFat,1 grams,157
calories,230 calories,158
carbohydrate,29 grams,158
cholesterol,50 milligrams,158
fat,9 grams,158
